Policy Area,Dataset,Variable,Year,Count,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Environment,Water Quality,Drinking Water Contaminants,2017,809.0477037,"Census Tract 4080.06, Los Angeles County, California",408006,West Covina,1400000US06037408006,"(34.034816, -117.9018715)",Drinking_Water_Contaminants_2017_1400000US06037408006,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,810.3125231,"Census Tract 4081.33, Los Angeles County, California",408133,West Covina,1400000US06037408133,"(34.024356, -117.9101125)",Drinking_Water_Contaminants_2017_1400000US06037408133,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,809.9627955,"Census Tract 4081.34, Los Angeles County, California",408134,West Covina,1400000US06037408134,"(34.0229315, -117.897437)",Drinking_Water_Contaminants_2017_1400000US06037408134,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,809.6014995,"Census Tract 4081.35, Los Angeles County, California",408135,West Covina,1400000US06037408135,"(34.0169595, -117.8983025)",Drinking_Water_Contaminants_2017_1400000US06037408135,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,276.159286,"Census Tract 4081.36, Los Angeles County, California",408136,West Covina,1400000US06037408136,"(34.009563, -117.874467)",Drinking_Water_Contaminants_2017_1400000US06037408136,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,748.833938,"Census Tract 4081.37, Los Angeles County, California",408137,South San Jose Hills,1400000US06037408137,"(34.009108, -117.883356)",Drinking_Water_Contaminants_2017_1400000US06037408137,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,821.6712169,"Census Tract 4081.38, Los Angeles County, California",408138,South San Jose Hills,1400000US06037408138,"(34.019139, -117.9167095)",Drinking_Water_Contaminants_2017_1400000US06037408138,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,791.9287411,"Census Tract 4081.39, Los Angeles County, California",408139,South San Jose Hills,1400000US06037408139,"(34.012163, -117.91348)",Drinking_Water_Contaminants_2017_1400000US06037408139,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,637.2529447,"Census Tract 4081.40, Los Angeles County, California",408140,South San Jose Hills,1400000US06037408140,"(34.0091825, -117.9035275)",Drinking_Water_Contaminants_2017_1400000US06037408140,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,651.3105808,"Census Tract 4081.41, Los Angeles County, California",408141,South San Jose Hills,1400000US06037408141,"(34.0082915, -117.8946755)",Drinking_Water_Contaminants_2017_1400000US06037408141,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,807.9895117,"Census Tract 4082.02, Los Angeles County, California",408202,Industry,1400000US06037408202,"(34.021924, -117.9637775)",Drinking_Water_Contaminants_2017_1400000US06037408202,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,668.3931776,"Census Tract 4082.11, Los Angeles County, California",408211,Industry,1400000US06037408211,"(34.0001605, -117.9097205)",Drinking_Water_Contaminants_2017_1400000US06037408211,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,276.159286,"Census Tract 4082.12, Los Angeles County, California",408212,Rowland Heights,1400000US06037408212,"(33.9946135, -117.8795045)",Drinking_Water_Contaminants_2017_1400000US06037408212,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,796.6824202,"Census Tract 4083.01, Los Angeles County, California",408301,Avocado Heights,1400000US06037408301,"(34.0464555, -117.997756)",Drinking_Water_Contaminants_2017_1400000US06037408301,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,797.3991713,"Census Tract 4083.02, Los Angeles County, California",408302,Industry,1400000US06037408302,"(34.0386535, -118.018099)",Drinking_Water_Contaminants_2017_1400000US06037408302,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,795.0548924,"Census Tract 4083.03, Los Angeles County, California",408303,Avocado Heights,1400000US06037408303,"(34.035328, -118.0084775)",Drinking_Water_Contaminants_2017_1400000US06037408303,1/1/17
